ลำดับ,รายการสินค้า,ม.ค.68,ก.พ.68,มี.ค.68,เม.ย.68,พ.ค.68,มิ.ย.68,ก.ค.68,ส.ค.68,ก.ย.68,ต.ค.68,พ.ย.68,ธ.ค.68
1,เสื้อผ้าสำเร็จรูปทำจากฝ้าย,"1,386.90","1,327.51","1,246.68","1,275.86","1,621.29","1,399.94","1,626.16","1,358.89",,,,
2,เสื้อผ้าสำเร็จรูปทำจากไหม,3.27,3.50,7.54,8.06,4.15,10.60,29.84,21.62,,,,
3,เสื้อผ้าสำเร็จรูปทำจากวัตถุทออื่น ๆ,"1,405.81","1,707.65","1,510.89","1,334.68","1,579.62","1,712.56","1,487.03","1,421.57",,,,
4,ผ้าผืนทำจากฝ้าย,707.57,752.03,708.90,618.99,596.01,628.88,750.37,569.49,,,,
5,ผ้าผืนทำจากไหม,5.88,4.31,6.25,7.89,7.45,4.54,7.30,5.42,,,,
6,ผ้าผืนทำจากวัตถุทออื่น ๆ,312.62,297.63,351.53,307.58,326.78,299.21,348.06,264.78,,,,
7,เคหะสิ่งทอ,449.76,518.62,520.08,578.35,591.85,695.31,808.84,681.34,,,,
8,ผ้าปักและผ้าลูกไม้,255.61,286.85,277.93,267.72,291.80,249.94,251.45,210.25,,,,
9,ผ้าคลุมไหล่ ผ้าพันคอ,10.87,125.37,36.44,33.19,30.10,8.16,40.88,8.77,,,,
10,เครื่องประดับแท้ทำด้วยเงิน,"5,318.67","5,747.02","5,733.64","6,108.74","7,342.07","6,530.70","9,280.13","10,378.86",,,,
11,เครื่องประดับแท้ทำด้วยทอง,"7,288.47","9,590.23","12,379.56","6,840.84","9,690.34","6,198.31","6,876.73","7,577.81",,,,
12,เครื่องประดับแท้ทำด้วยโลหะมีค่าอื่น ๆ,506.28,841.96,"2,868.02",494.03,678.52,663.58,709.83,"1,100.01",,,,
13,เครื่องประดับอัญมณีเทียม,786.55,912.89,948.07,831.55,972.22,942.59,"1,130.49",968.55,,,,
14,อัญมณีสังเคราะห์,222.40,695.16,621.46,609.67,366.93,666.42,556.28,244.44,,,,
15,โลหะมีค่าและของที่หุ้มด้วยโลหะมีค่าอื่น ๆ,"34,075.30","43,100.34","10,798.91","3,782.01","2,130.16","1,429.80","1,725.24","1,567.57",,,,
16,เฟอร์นิเจอร์ไม้,857.76,"1,003.31","1,118.23",961.64,"1,177.50","1,004.22","1,118.28",862.33,,,,
17,กรอบรูปไม้,43.70,80.30,35.93,26.80,47.28,54.64,54.81,86.09,,,,
18,รูปแกะสลัก และเครื่องประดับทำด้วยไม้,55.13,52.71,61.24,50.05,59.23,74.22,43.74,30.87,,,,
19,ไม้และผลิตภัณฑ์ไม้อื่น ๆ,"1,535.72","1,551.10","1,395.89","1,425.49","1,158.91","1,350.17",716.69,"1,299.48",,,,
20,ดอกไม้ ใบไม้ และต้นไม้ประดิษฐ์,18.49,19.94,23.61,15.33,21.71,20.79,31.55,30.92,,,,
21,หนังและผลิตภัณฑ์หนังอื่น ๆ,"1,563.51","1,444.49","1,434.80","1,460.37","1,523.17","1,406.11","1,405.56","1,299.83",,,,
22,ของชำร่วยและเครื่องประดับ,47.00,40.17,43.21,37.08,37.43,42.48,46.72,40.48,,,,
23,ถ้วยชามทำด้วยเซรามิก,498.68,611.37,678.26,603.46,633.96,627.17,716.82,622.95,,,,
24,ประทีปโคมไฟ,"1,019.52",902.06,"1,012.59",937.40,"1,303.01","1,844.10","2,132.15","2,055.80",,,,
25,ของใช้ในเทศกาลและงานรื่นเริง,65.20,58.91,123.58,116.84,169.90,217.77,222.46,159.95,,,,
26,ร่ม,5.74,5.76,10.05,6.72,11.49,6.93,8.25,6.22,,,,
27,เครื่องดนตรีและส่วนประกอบ,42.82,70.37,58.59,48.30,52.31,59.09,67.74,55.96,,,,
28,สินค้าอุตสาหกรรมอื่น ๆ,"18,023.66","19,846.24","23,549.12","21,781.98","22,078.70","18,837.87","20,757.82","20,243.77",,,,
,รวม,"76,512.89","91,597.80","67,561.00","50,570.62","54,503.89","46,986.10","52,951.22","53,174.02",0.00,0.00,0.00,0.00
